API名称,语言,SDK变更版本,影响版本,标题,代码位置,修复状态,变更类型
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu_V2.ets:223,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\blessing_muyu\BlessingMuyu_V2.ets:227,已修复,接口行为变更
"declare function animateTo(value: AnimateParam, event: () => void): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#%E5%8A%A8%E7%94%BB%E6%8E%A5%E5%8F%A3%E5%9C%A8%E6%92%AD%E6%94%BE%E6%AC%A1%E6%95%B0%E4%B8%BA%E6%97%A0%E9%99%90%E5%BE%AA%E7%8E%AF%E6%97%B6%E7%9A%84%E8%A1%8C%E4%B8%BA%E5%8F%98%E6%9B%B4"",""动画接口在播放次数为无限循环时的行为变更"")",default\src\main\ets\sub_pages\devine_bagua\DevineBaGua.ets:495,已修复,接口行为变更
"declare function postCardAction(component: Object, action: Object): void",ArkTS,5.0.1(13) Release,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-b112#postcardaction%E7%9A%84router%E4%BA%8B%E4%BB%B6%E5%85%81%E8%AE%B8%E6%8B%89%E8%B5%B7ability%E7%B1%BB%E5%9E%8B%E8%8C%83%E5%9B%B4%E5%8F%98%E6%9B%B4"",""PostCardAction的router事件允许拉起Ability类型范围变更"")",default\src\main\ets\form_cards\BlessingMuyuCard.ets:57,已修复,接口行为变更
"navDestination(builder: (name: string, param: unknown) => void): NavigationAttribute",ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\RollPage\RollEditor.ets:133,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\RollPage\RollDetailEditor.ets:30,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\SettingPage\AboutUs.ets:48,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\SettingPage\ContactUs.ets:23,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\SettingPage\CopyRight.ets:10,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\SettingPage\MoreOpt.ets:117,已修复,UX视觉布局变更
